Change ID,Snapshot Date,Inactive Ingredient,Route of Administration,Dosage Form,Maximum Potency per Unit Dose,Maximum Daily Exposure,Maximum Daily Exposure UOM,Status
43,Q1 2026,2-NAPHTHALENOL,ORAL,CAPSULE,0.30 mg,,,C
43,Q2 2026,2-NAPHTHOL,ORAL,CAPSULE,0.30 mg,,,C
120,Q1 2026,ACETIC ACID,SUBCUTANEOUS,SOLUTION,0.06 %w/v,,,C
120,Q2 2026,ACETIC ACID,SUBCUTANEOUS,SOLUTION,NA,,,C
1069,Q1 2026,CARBOXYMETHYLCELLULOSE SODIUM,ORAL,SUSPENSION,,1600,mg,C
1069,Q2 2026,CARBOXYMETHYLCELLULOSE SODIUM,ORAL,SUSPENSION,,1080,mg,C
1296,Q1 2026,CITRIC ACID MONOHYDRATE,INTRAOCULAR,"INJECTION, SOLUTION, CONCENTRATE",0.24 mg/ 5.00 ml,,,C
1296,Q2 2026,CITRIC ACID MONOHYDRATE,INTRAOCULAR,"INJECTION, SOLUTION, CONCENTRATE",0.02 %w/v,,,C
1310,Q1 2026,CITRIC ACID MONOHYDRATE,IRRIGATION,"INJECTION, SOLUTION, CONCENTRATE",0.03 %w/v,,,C
1310,Q2 2026,CITRIC ACID MONOHYDRATE,IRRIGATION,"INJECTION, SOLUTION, CONCENTRATE",0.02 %w/v,,,C
2017,Q1 2026,DYE WILD CHERRY 7598,ORAL,SOLUTION,0.08 mg/ 5.00 ml,,,C
2017,Q2 2026,DYE WILD CHERRY 7598,ORAL,SOLUTION,0.05 mg/ 5.00 ml,,,C
3017,Q1 2026,GLYCERIN,TOPICAL,"AEROSOL, FOAM",,42,mg,C
3017,Q2 2026,GLYCERIN,TOPICAL,"AEROSOL, FOAM",,21,mg,C
3418,Q1 2026,HYDROXYETHYL CELLULOSE (140 MPA.S AT 5%),ORAL,TABLET,,4,mg,C
3418,Q2 2026,HYDROXYETHYL CELLULOSE (140 MPA.S AT 5%),ORAL,TABLET,,2,mg,C
3906,Q1 2026,LACTIC ACID,TOPICAL,"AEROSOL, FOAM",,21,mg,C
3906,Q2 2026,LACTIC ACID,TOPICAL,"AEROSOL, FOAM",,11,mg,C
3963,Q1 2026,LACTOSE,ORAL,"TABLET, DELAYED RELEASE",,458,mg,C
3963,Q2 2026,LACTOSE,ORAL,"TABLET, DELAYED RELEASE",,160,mg,C
4156,Q1 2026,LOW-SUBSTITUTED HYDROXYPROPYL CELLULOSE (11% HYDROXYPROPYL; 120000 MW),ORAL,TABLET,,370,mg,C
4156,Q2 2026,LOW-SUBSTITUTED HYDROXYPROPYL CELLULOSE (11% HYDROXYPROPYL; 120000 MW),ORAL,TABLET,,225,mg,C
4400,Q1 2026,MANNITOL,SUBCUTANEOUS,SOLUTION,1.59 %w/v,,,C
4400,Q2 2026,MANNITOL,SUBCUTANEOUS,SOLUTION,NA,,,C
6476,Q1 2026,POTASSIUM SORBATE,NASAL,"SPRAY, METERED",1.20 mg/ 1.00 ml,,,C
6476,Q2 2026,POTASSIUM SORBATE,NASAL,"SPRAY, METERED",0.06 mg,,,C
8083,Q1 2026,SODIUM STARCH GLYCOLATE TYPE A,ORAL,"CAPSULE, EXTENDED RELEASE",,90,mg,C
8083,Q2 2026,SODIUM STARCH GLYCOLATE TYPE A,ORAL,"CAPSULE, EXTENDED RELEASE",,32,mg,C
8121,Q1 2026,SODIUM SULFATE,OPHTHALMIC,SOLUTION,0.14 %w/w,,,C
8121,Q2 2026,SODIUM SULFATE,OPHTHALMIC,SOLUTION,0.14 %w/v,,,C
8158,Q1 2026,SODIUM TARTRATE DIHYDRATE,INTRAMUSCULAR,INJECTION,,288,mg,C
8158,Q2 2026,SODIUM TARTRATE DIHYDRATE,INTRAMUSCULAR,INJECTION,,96,mg,C
8159,Q1 2026,SODIUM TARTRATE DIHYDRATE,INTRAVENOUS,INJECTION,,288,mg,C
8159,Q2 2026,SODIUM TARTRATE DIHYDRATE,INTRAVENOUS,INJECTION,,96,mg,C
8885,Q1 2026,TRISODIUM CITRATE DIHYDRATE,INTRAOCULAR,"INJECTION, SOLUTION, CONCENTRATE",5.48 mg/ 1.00 ml,,,C
8885,Q2 2026,TRISODIUM CITRATE DIHYDRATE,INTRAOCULAR,"INJECTION, SOLUTION, CONCENTRATE",0.55 %w/v,,,C
491,Q1 2026,ANTIPYRINE,OPHTHALMIC,SOLUTION,0.10 %w/w,,,D
541,Q1 2026,ASEPTOFORM M,TOPICAL,CREAM,5.00 %w/w,,,D
562,Q1 2026,BALSAM PERU,RECTAL,SUPPOSITORY,100.00 mg,,,D
877,Q1 2026,CALCIUM CHLORIDE ANHYDROUS,INTRA-ARTERIAL,INJECTION,NA,10,mg,D
878,Q1 2026,CALCIUM CHLORIDE ANHYDROUS,INTRAVENOUS,INJECTION,NA,10,mg,D
949,Q1 2026,CAPSICUM OLEORESIN,ORAL,SYRUP,0.05 mg/ 5.00 ml,,,D
1079,Q1 2026,CARBOXYMETHYLCELLULOSE SODIUM,SOFT TISSUE,INJECTION,0.75 %w/v,,,D
1090,Q1 2026,CARBOXYMETHYLCELLULOSE SODIUM 12,ORAL,CAPSULE,4.20 mg,4,mg,D
1117,Q1 2026,CARRAGEENAN,ORAL,POWDER,0.41 mg,1,mg,D
1167,Q1 2026,CELLULOSIC POLYMERS,ORAL,"TABLET, DELAYED RELEASE",NA,,,D
1342,Q1 2026,CITRIC ACID MONOHYDRATE,PERINEURAL,INJECTION,0.02 %w/v,,,D
1386,Q1 2026,COCONUT OIL,ORAL,CAPSULE,NA,,,D
1402,Q1 2026,COLD CREAM,TOPICAL,SOAP,1.50 %w/w,,,D
1406,Q1 2026,"COLLAGEN, HYDROLYZED",ORAL,"CAPSULE, LIQUID FILLED",10.07 mg,20,mg,D
1613,Q1 2026,D&C RED NO. 30,ORAL,"TABLET, DELAYED RELEASE",NA,,,D
1849,Q1 2026,DIETHYL PHTHALATE,ORAL,CAPSULE,8.89 mg,9,mg,D
1935,Q1 2026,"DISTEAROYLPHOSPHATIDYLCHOLINE, DL-",INTRAVENOUS,"INJECTION, POWDER, FOR SUSPENSION",2.27 %w/v,,,D
2280,Q1 2026,ETHYLENE,ORAL,CAPSULE,NA,,,D
2281,Q1 2026,ETHYLENE GLYCOL,TOPICAL,"SHAMPOO, SUSPENSION",1.00 %w/v,,,D
2318,Q1 2026,"FATTY ACID ESTERS, SATURATED",ORAL,"CAPSULE, COATED PELLETS",0.20 mg,,,D
2438,Q1 2026,FD&C RED NO. 40,ORAL,"TABLET, DELAYED RELEASE",0.45 mg,,,D
2546,Q1 2026,FERRIC OXIDE RED,ORAL,"CAPSULE, LIQUID FILLED",0.62 mg,1,mg,D
2569,Q1 2026,FERRIC OXIDE YELLOW,ORAL,"CAPSULE, LIQUID FILLED",0.62 mg,1,mg,D
2625,Q1 2026,FLAVOR BUBBLE GUM MC-4938,ORAL,SUSPENSION,18.00 mg/ 5.00 ml,,,D
2859,Q1 2026,FORMIC ACID,INTRAVENOUS,"INJECTION, POWDER, LYOPHILIZED, FOR SOLUTION",6.00 %w/v,,,D
3075,Q1 2026,GLYCERYL MONOCITRATE,TOPICAL,CREAM,0.05 %w/w,,,D
3171,Q1 2026,HAMAMELIS VIRGINIANA TOP WATER,TOPICAL,CREAM,50.98 %w/w,,,D
3172,Q1 2026,HARD FAT,ORAL,"CAPSULE, LIQUID FILLED",76.50 mg,153,mg,D
3206,Q1 2026,HORNSTEDTIA COSTATA SEED,ORAL,ELIXIR,2.50 mg/ 5.00 ml,,,D
3385,Q1 2026,HYDROGENATED COTTONSEED OIL,ORAL,"TABLET, COATED",0.60 mg,,,D
3620,Q1 2026,HYPROMELLOSE 2906 (4 MPA.S),ORAL,POWDER,45.59 mg,91,mg,D
3696,Q1 2026,HYPROMELLOSE 2910 (5 MPA.S),ORAL,"GRANULE, FOR SUSPENSION",24.08 mg,48,mg,D
3891,Q1 2026,KARAYA GUM,BUCCAL,"FILM, EXTENDED RELEASE",68.10 mg,58,mg,D
3901,Q1 2026,LACTIC ACID,ORAL,"CAPSULE, LIQUID FILLED",44.00 mg,,,D
4252,Q1 2026,MAGNESIUM STEARATE,ORAL,"CAPSULE, COATED PELLETS",0.15 mg,,,D
4412,Q1 2026,MEDIUM-CHAIN TRIGLYCERIDES,ORAL,"CAPSULE, LIQUID FILLED",161.10 mg,866,mg,D
4527,Q1 2026,METHYL ACRYLATE - METHYL METHACRYLATE,ORAL,"TABLET, EXTENDED RELEASE",NA,,,D
4638,Q1 2026,METHYLPARABEN,ORAL,"TABLET, FILM COATED",0.23 mg,,,D
4832,Q1 2026,N-PHENYL-1-NAPTHYLAMINE,RESPIRATORY (INHALATION),LIQUID,0.01 %w/w,,,D
4887,Q1 2026,OPACODE NS-78-17821 WB BLACK,ORAL,CAPSULE,NA,,,D
4974,Q1 2026,OPADRY 03B34399 PINK,ORAL,TABLET,19.05 mg,,,D
5021,Q1 2026,OPADRY 05B11781 GREEN,ORAL,TABLET,7.00 mg,,,D
5022,Q1 2026,OPADRY 05B15325 RED,ORAL,TABLET,5.00 mg,,,D
5050,Q1 2026,OPADRY 85G93096 ORANGE,ORAL,TABLET,4.53 mg,,,D
5145,Q1 2026,OPADRY II 85G66895 BROWN,ORAL,"TABLET, EXTENDED RELEASE",18.00 mg,,,D
